,C,Classifier,Dataset,accuracy
255,,LS,uWaveGestureLibrary_Z,0.7315
256,,LS,wafer,0.9962
257,,LS,yoga,0.8499
258,,LogicalShapelet,50words,
259,,LogicalShapelet,Adiac,0.586
260,,LogicalShapelet,Beef,0.5670000000000001
261,,LogicalShapelet,CBF,0.8859999999999999
262,,LogicalShapelet,ChlorineConcentration,0.619
263,,LogicalShapelet,CinC_ECG_torso,0.6990000000000001
264,,LogicalShapelet,Coffee,0.9640000000000001
265,,LogicalShapelet,Cricket_X,
266,,LogicalShapelet,Cricket_Y,
267,,LogicalShapelet,Cricket_Z,
268,,LogicalShapelet,DiatomSizeReduction,0.8009999999999999
269,,LogicalShapelet,ECG200,0.87
270,,LogicalShapelet,ECGFiveDays,0.9940000000000001
271,,LogicalShapelet,FaceAll,0.659
272,,LogicalShapelet,FaceFour,0.489
273,,LogicalShapelet,FacesUCR,0.662
274,,LogicalShapelet,Fish,0.777
275,,LogicalShapelet,Gun_Point,0.893
276,,LogicalShapelet,Haptics,
277,,LogicalShapelet,InlineSkate,
278,,LogicalShapelet,ItalyPowerDemand,0.9359999999999999
279,,LogicalShapelet,Lightning2,0.42599999999999993
280,,LogicalShapelet,Lightning7,0.5479999999999999
281,,LogicalShapelet,MALLAT,0.6559999999999999
282,,LogicalShapelet,MedicalImages,0.5870000000000001
283,,LogicalShapelet,MoteStrain,0.8320000000000001
284,,LogicalShapelet,OSULeaf,0.6859999999999999
285,,LogicalShapelet,OliveOil,0.833
286,,LogicalShapelet,SonyAIBORobotSurface,0.86
287,,LogicalShapelet,SonyAIBORobotSurfaceII,0.846
288,,LogicalShapelet,StarLightCurves,
289,,LogicalShapelet,SwedishLeaf,0.813
290,,LogicalShapelet,Symbols,0.643
291,,LogicalShapelet,Trace,1.0
292,,LogicalShapelet,TwoLeadECG,0.856
293,,LogicalShapelet,Two_Patterns,0.539
294,,LogicalShapelet,WordsSynonyms,
295,,LogicalShapelet,synthetic_control,0.47
296,,LogicalShapelet,uWaveGestureLibrary_X,
297,,LogicalShapelet,uWaveGestureLibrary_Y,
298,,LogicalShapelet,uWaveGestureLibrary_Z,
299,,LogicalShapelet,wafer,0.9990000000000001
300,,LogicalShapelet,yoga,0.74
301,,FastShapelet,50words,
302,,FastShapelet,Adiac,0.486
303,,FastShapelet,Beef,0.5529999999999999
304,,FastShapelet,CBF,0.9470000000000001
305,,FastShapelet,ChlorineConcentration,0.583
306,,FastShapelet,CinC_ECG_torso,0.826
307,,FastShapelet,Coffee,0.932
308,,FastShapelet,Cricket_X,
309,,FastShapelet,Cricket_Y,
310,,FastShapelet,Cricket_Z,
311,,FastShapelet,DiatomSizeReduction,0.883
312,,FastShapelet,ECG200,0.773
313,,FastShapelet,ECGFiveDays,0.996
314,,FastShapelet,FaceAll,0.589
315,,FastShapelet,FaceFour,0.91
316,,FastShapelet,FacesUCR,0.672
317,,FastShapelet,Fish,0.8029999999999999
318,,FastShapelet,Gun_Point,0.9390000000000001
319,,FastShapelet,Haptics,
